sample_index,gps_time,time_since_start_s,time_centered_s,strain,detector,strain_abs,strain_sign,strain_sq
983,1187006834.2399902,0.239990234375,-2047.760009765625,4.852568388388566e-20,V1,4.852568388388566e-20,1.0,2.3547419963988004e-39
984,1187006834.2402344,0.240234375,-2047.759765625,3.0450723933921876e-20,V1,3.0450723933921876e-20,1.0,9.272465880999226e-40
985,1187006834.2404785,0.240478515625,-2047.759521484375,6.682136473736349e-20,V1,6.682136473736349e-20,1.0,4.465094785363766e-39
986,1187006834.240723,0.24072265625,-2047.75927734375,4.160954615066991e-20,V1,4.160954615066991e-20,1.0,1.7313543308647294e-39
987,1187006834.2409668,0.240966796875,-2047.759033203125,8.5991804090718e-20,V1,8.5991804090718e-20,1.0,7.394590370776426e-39
988,1187006834.241211,0.2412109375,-2047.7587890625,7.089267160831241e-20,V1,7.089267160831241e-20,1.0,5.025770887764024e-39
989,1187006834.241455,0.241455078125,-2047.758544921875,8.754317261200136e-20,V1,8.754317261200136e-20,1.0,7.663807070974665e-39
990,1187006834.2416992,0.24169921875,-2047.75830078125,1.1046281198575946e-19,V1,1.1046281198575946e-19,1.0,1.2202032831801243e-38
991,1187006834.2419434,0.241943359375,-2047.758056640625,1.2473718807971088e-19,V1,1.2473718807971088e-19,1.0,1.5559366090033167e-38
992,1187006834.2421875,0.2421875,-2047.7578125,1.5373144036879274e-19,V1,1.5373144036879274e-19,1.0,2.363335575786368e-38
993,1187006834.2424316,0.242431640625,-2047.757568359375,1.527243999015353e-19,V1,1.527243999015353e-19,1.0,2.3324742325284077e-38
994,1187006834.2426758,0.24267578125,-2047.75732421875,2.1169791034889253e-19,V1,2.1169791034889253e-19,1.0,4.481600524608774e-38
995,1187006834.24292,0.242919921875,-2047.757080078125,1.8853949745873912e-19,V1,1.8853949745873912e-19,1.0,3.554714210199389e-38
996,1187006834.243164,0.2431640625,-2047.7568359375,2.4036475302509188e-19,V1,2.4036475302509188e-19,1.0,5.777521449681341e-38
997,1187006834.2434082,0.243408203125,-2047.756591796875,2.2313537328591383e-19,V1,2.2313537328591383e-19,1.0,4.978939481144411e-38
998,1187006834.2436523,0.24365234375,-2047.75634765625,2.711139649056801e-19,V1,2.711139649056801e-19,1.0,7.350278196687834e-38
999,1187006834.2438965,0.243896484375,-2047.756103515625,2.508792076240864e-19,V1,2.508792076240864e-19,1.0,6.294037681808942e-38
1000,1187006834.2441406,0.244140625,-2047.755859375,2.6780027872101063e-19,V1,2.6780027872101063e-19,1.0,7.171698928305098e-38
1001,1187006834.2443848,0.244384765625,-2047.755615234375,2.8404235120624315e-19,V1,2.8404235120624315e-19,1.0,8.068005727877078e-38
1002,1187006834.244629,0.24462890625,-2047.75537109375,2.8538831029804203e-19,V1,2.8538831029804203e-19,1.0,8.144648765477153e-38
1003,1187006834.244873,0.244873046875,-2047.755126953125,2.998816180810349e-19,V1,2.998816180810349e-19,1.0,8.992898486289968e-38
1004,1187006834.2451172,0.2451171875,-2047.7548828125,3.075457162038952e-19,V1,3.075457162038952e-19,1.0,9.458436755536686e-38
1005,1187006834.245361,0.245361328125,-2047.754638671875,3.5603830855448387e-19,V1,3.5603830855448387e-19,1.0,1.2676327715833786e-37
1006,1187006834.2456057,0.24560546875,-2047.75439453125,3.393232366970631e-19,V1,3.393232366970631e-19,1.0,1.1514025896257112e-37
1007,1187006834.2458496,0.245849609375,-2047.754150390625,3.844366729405734e-19,V1,3.844366729405734e-19,1.0,1.477915555016174e-37
1008,1187006834.2460938,0.24609375,-2047.75390625,3.780886494514405e-19,V1,3.780886494514405e-19,1.0,1.4295102684401429e-37
1009,1187006834.246338,0.246337890625,-2047.753662109375,4.3107859272933996e-19,V1,4.3107859272933996e-19,1.0,1.8582875310950816e-37
1010,1187006834.246582,0.24658203125,-2047.75341796875,4.0539307616344667e-19,V1,4.0539307616344667e-19,1.0,1.6434354620126207e-37
1011,1187006834.2468262,0.246826171875,-2047.753173828125,4.392171907107375e-19,V1,4.392171907107375e-19,1.0,1.9291174061583235e-37
1012,1187006834.2470703,0.2470703125,-2047.7529296875,4.379880296925767e-19,V1,4.379880296925767e-19,1.0,1.918335141539855e-37
1013,1187006834.2473145,0.247314453125,-2047.752685546875,4.483021373914723e-19,V1,4.483021373914723e-19,1.0,2.009748063897625e-37
1014,1187006834.2475586,0.24755859375,-2047.75244140625,4.558290269590728e-19,V1,4.558290269590728e-19,1.0,2.077801018184551e-37
1015,1187006834.2478027,0.247802734375,-2047.752197265625,4.532995554319291e-19,V1,4.532995554319291e-19,1.0,2.0548048695478456e-37
1016,1187006834.2480469,0.248046875,-2047.751953125,4.869119358910529e-19,V1,4.869119358910529e-19,1.0,2.3708323331317283e-37
1017,1187006834.248291,0.248291015625,-2047.751708984375,4.820767853165179e-19,V1,4.820767853165179e-19,1.0,2.323980269411081e-37
1018,1187006834.2485352,0.24853515625,-2047.75146484375,5.08324216950467e-19,V1,5.08324216950467e-19,1.0,2.5839350953830544e-37
1019,1187006834.2487793,0.248779296875,-2047.751220703125,4.93967205822889e-19,V1,4.93967205822889e-19,1.0,2.4400360042847225e-37
1020,1187006834.2490234,0.2490234375,-2047.7509765625,5.679718749314425e-19,V1,5.679718749314425e-19,1.0,3.2259205071313822e-37
1021,1187006834.2492676,0.249267578125,-2047.750732421875,5.314549617875736e-19,V1,5.314549617875736e-19,1.0,2.8244437640863138e-37
1022,1187006834.2495117,0.24951171875,-2047.75048828125,5.731665623447532e-19,V1,5.731665623447532e-19,1.0,3.2851990819010186e-37
